City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Lüderitz,-26.65,15.16,73.4,16,0,4.7,NA,1595562810
Faanui,-16.48,-151.75,77.45,81,16,21.07,PF,1595562810
Tiznit Province,29.58,-9.5,76.23,33,0,0.83,MA,1595562810
Dikson,73.51,80.55,43.02,89,0,2.98,RU,1595562810
Hilo,19.73,-155.09,80.6,65,40,9.17,US,1595562708
Albany,42.6,-73.97,73.99,98,57,5.14,US,1595562810
Bredasdorp,-34.53,20.04,46.4,100,0,4.7,ZA,1595562712
Atuona,-9.8,-139.03,79.39,77,26,19.6,PF,1595562810
Jamestown,42.1,-79.24,70,88,90,1.63,US,1595562798
Atar,20.52,-13.05,86.34,50,16,8.14,MR,1595562811
Senno,59.53,33.92,51.03,89,38,5.17,RU,1595562811
Vestmannaeyjar,63.44,-20.27,50.13,83,79,10.69,IS,1595562811
Vaini,-21.2,-175.2,75.2,83,40,8.05,TO,1595562811
Kamsack,51.57,-101.9,73.4,94,75,9.17,CA,1595562731
Sinnamary,5.38,-52.95,77.04,85,99,6.06,GF,1595562811
Revelstoke,50.98,-118.2,69.8,60,40,8.05,CA,1595562539
Bethel,41.37,-73.41,70,94,20,8.05,US,1595562811
Los Llanos de Aridane,28.66,-17.92,69.8,77,75,16.11,ES,1595562812
Vredendal,-31.67,18.5,63.16,27,0,15.21,ZA,1595562812
Urucurituba,-2.68,-57.67,75.47,75,71,1.57,BR,1595562812
Buala,-8.14,159.59,85.68,70,11,10.2,SB,1595562812
Aykhal,66,111.5,62.6,59,75,2.24,RU,1595562812
Arona,28.1,-16.68,73,73,0,6.93,ES,1595562812
Ponta do Sol,32.67,-17.1,73.4,49,20,20.8,PT,1595562713
Geraldton,-28.77,114.6,64.4,59,0,14.99,AU,1595562813
Ermelo,-26.53,29.98,31.19,97,0,2.1,ZA,1595562813
Paoua,7.24,16.44,68.58,94,100,1.54,CF,1595562813
Port Elizabeth,-33.92,25.57,46.4,81,0,2.24,ZA,1595562813
Ilulissat,69.22,-51.1,46.4,70,100,3.36,GL,1595562718
Port Lincoln,-34.73,135.87,60.17,53,88,16.06,AU,1595562813
Petrov Val,50.14,45.21,64.22,59,87,7.7,RU,1595562813
Kombissiri,12.07,-1.34,77,78,77,4.7,BF,1595562813
Sakakah,29.97,40.21,89.6,15,20,13.87,SA,1595562813
Yumen,40.28,97.2,82.47,26,100,0.76,CN,1595562813
Kapaa,22.08,-159.32,82.4,74,40,12.75,US,1595562813
Clyde River,70.47,-68.59,44.6,87,90,3.36,CA,1595562749
Hamilton,39.18,-84.53,73.99,94,90,1.86,US,1595562666
Zhigansk,66.77,123.37,69.69,59,35,15.03,RU,1595562814
Kavieng,-2.57,150.8,84.07,72,100,7.61,PG,1595562814
Kovylkino,54.04,43.91,56.46,84,73,5.75,RU,1595562814
Pundaguitan,6.37,126.17,84.24,66,66,2.86,PH,1595562814
Poole,50.72,-2,60.01,89,68,7.9,GB,1595562814
Avera,33.19,-82.53,75.2,70,1,6.85,US,1595562761
Leningradskiy,69.38,178.42,44.42,74,88,11.68,RU,1595562814
Saint-Pierre,-21.34,55.48,66.2,59,90,17.22,RE,1595562814
Srednekolymsk,67.45,153.68,90.68,27,2,5.61,RU,1595562815
Zuwārah,32.93,12.08,72.41,71,0,6.06,LY,1595562815
Saskylakh,71.92,114.08,64.45,73,94,9.86,RU,1595562815
Afrikanda,67.44,32.78,56.28,86,96,5.3,RU,1595562815
Norman Wells,65.28,-126.83,60.8,63,75,13.87,CA,1595562815
Saint Paul Harbor,57.79,-152.41,60.8,59,90,4.7,US,1595562815
Upernavik,72.79,-56.15,44.76,79,57,7.81,GL,1595562815
Phalaborwa,-23.94,31.14,60.8,77,19,5.82,ZA,1595562815
Osakarovka,50.56,72.57,72.75,60,25,7.2,KZ,1595562816
Sirte,31.21,16.59,75.4,82,0,6.55,LY,1595562816
Qaanaaq,77.48,-69.36,43.16,63,0,0.89,GL,1595562716
Rumonge,-3.97,29.44,69.82,57,0,2.28,BI,1595562816
Allahabad,25.45,81.85,90.64,57,67,8.19,IN,1595562816
Suntar,62.14,117.63,80.17,47,43,3.76,RU,1595562816
Mar del Plata,-38,-57.56,53.01,100,75,11.41,AR,1595562817
Constitución,-35.33,-72.42,46.27,81,0,2.98,CL,1595562817
Teguise,29.06,-13.56,71.6,83,8,16.11,ES,1595562817
Whitehorse,60.72,-135.05,60.8,59,75,4.7,CA,1595562522
Touros,-5.2,-35.46,71.6,94,20,4.7,BR,1595562817
New Norfolk,-42.78,147.06,54,78,100,2.44,AU,1595562817
Asău,46.43,26.4,61,90,45,1.77,RO,1595562722
Saint George,37.1,-113.58,84.2,32,1,13.87,US,1595562552
Hong Kong,22.29,114.16,91.99,59,20,10.29,HK,1595562795
Bela,25.93,81.98,88.93,64,77,9.08,IN,1595562818
Aldan,58.6,125.39,64.81,83,100,5.19,RU,1595562818
Nanortalik,60.14,-45.24,44.65,93,100,7.83,GL,1595562728
Marsá Maţrūḩ,31.35,27.25,69.8,88,20,7.34,EG,1595562818
Jiwani,25.05,61.74,84.67,73,28,6.69,PK,1595562818
Mandalgovi,45.76,106.27,83.82,29,17,14.43,MN,1595562818
Chui,-33.7,-53.46,64.67,95,86,6.89,UY,1595562819
Chenzhou,25.8,113.03,97.59,43,97,4.21,CN,1595562740
Henties Bay,-22.12,14.28,69.42,25,0,16.2,NA,1595562819
Saldanha,-33.01,17.94,48.2,70,0,1.12,ZA,1595562819
Radzyń Podlaski,51.78,22.62,57.2,93,0,2.82,PL,1595562819
Petropavlovka,50.61,105.32,74.93,49,70,2.59,RU,1595562819
Raja,8.46,25.68,69.26,81,93,3.83,SS,1595562819
Kiryat Gat,31.61,34.76,75.2,83,40,8.05,IL,1595562759
Abhā,18.22,42.51,68,93,59,6.93,SA,1595562819
Oodweyne,9.41,45.06,71.46,59,92,20.83,SO,1595562819
Lovozero,68,35.01,59.18,75,53,2.93,RU,1595562820
Lujiang,31.26,117.28,73.4,100,20,8.95,CN,1595562820
Narsaq,60.92,-46.05,51.8,81,100,3.36,GL,1595562765
Kununurra,-15.77,128.73,84.2,20,0,12.75,AU,1595562820
Alice Springs,-23.7,133.88,69.8,22,0,4.7,AU,1595562692
Mahon,39.89,4.27,69.8,83,0,4.7,ES,1595562820
Yerbogachën,61.28,108.01,71.82,45,0,7.4,RU,1595562820
Dukat,62.55,155.55,75.52,28,4,4.27,RU,1595562820
Øksfjord,70.24,22.35,52,93,86,2.01,NO,1595562820
Hasaki,35.73,140.83,81,83,75,6.93,JP,1595562765
Ürümqi,43.8,87.6,87.8,27,0,4.47,CN,1595562821
Port-Gentil,-0.72,8.78,75.45,75,62,8.93,GA,1595562821
Nishifukuma,33.77,130.47,82.4,69,75,13.87,JP,1595562821
Zhangaözen,43.3,52.8,83.08,25,8,6.13,KZ,1595562821
Myanaung,18.28,95.32,88.38,67,29,1.16,MM,1595562821
Charleston,32.78,-79.93,84,78,1,3.36,US,1595562807
Linxia Chengguanzhen,35.6,103.21,68.27,72,100,3.87,CN,1595562821
Fortuna,40.6,-124.16,57.99,93,90,9.17,US,1595562821
Severo-Kuril'sk,50.68,156.12,51.75,83,100,4.16,RU,1595562821
Vardø,70.37,31.11,59,87,56,8.05,NO,1595562822
Chany,55.31,76.76,64.17,59,88,7.83,RU,1595562822
Jaciara,-15.97,-54.97,67.05,47,0,3.09,BR,1595562822
Shubarkuduk,49.14,56.49,76.35,47,0,13.96,KZ,1595562822
Vila Franca do Campo,37.72,-25.43,60.8,82,20,4.7,PT,1595562822
Pahrump,36.21,-115.98,86,7,0,4,US,1595562822
Tuatapere,-46.13,167.68,45.73,72,77,10.6,NZ,1595562823
Saint-Philippe,-21.36,55.77,66.2,59,90,17.22,RE,1595562823
Turmalina,-17.29,-42.73,54.46,90,0,1.43,BR,1595562778
Cherskiy,68.75,161.3,72.64,56,0,12.48,RU,1595562823
Dicabisagan,17.08,122.42,89.1,62,59,8.23,PH,1595562712
Oriximiná,-1.77,-55.87,76.75,79,43,4.34,BR,1595562823
Te Anau,-45.42,167.72,42.46,78,88,5.91,NZ,1595562728
Iraray,8.99,118.05,83.16,75,100,9.93,PH,1595562823
Eyemouth,55.87,-2.09,54,90,89,5.7,GB,1595562823
Emilio Carranza,19.97,-96.61,80.64,76,7,5.88,MX,1595562824
Khoy,38.55,44.95,72.57,54,0,1.9,IR,1595562824
Lebu,-37.62,-73.65,43.59,74,0,5.3,CL,1595562824
Taoudenni,22.68,-3.98,92.7,14,0,2.8,ML,1595562824
Samarinda,-0.5,117.15,76.35,92,99,3.96,ID,1595562650
Marystown,47.17,-55.15,58.39,95,100,5.99,CA,1595562824
Airai,-8.93,125.41,72.55,40,45,4.63,TL,1595562824
Mundo Nuevo (Ojo de Agua),18.7,-95.5,81.57,79,65,7.27,MX,1595562824
Banda Aceh,5.56,95.32,84.56,66,100,5.77,ID,1595562824
Jati,24.35,68.27,90.16,59,74,16.82,PK,1595562824
Cap-aux-Meules,47.38,-61.86,64.4,93,90,4.7,CA,1595562782
Solnechnyy,50.72,136.63,70.29,58,68,6.73,RU,1595562825
Laguna,38.42,-121.42,77,47,1,9.04,US,1595562825
Praia,14.92,-23.51,80.6,78,40,5.82,CV,1595562825
Hobyo,5.35,48.53,77.65,69,75,27.6,SO,1595562825
Juneau,58.3,-134.42,60.8,67,90,6.93,US,1595562825
Praia,14.92,-23.51,80.6,78,40,5.82,CV,1595562825
Vestmanna,62.16,-7.17,50,100,100,13.87,FO,1595562825
Beringovskiy,63.05,179.32,54.61,61,92,8.77,RU,1595562826
Cape Town,-33.93,18.42,60.01,50,0,4.7,ZA,1595562826
Mahébourg,-20.41,57.7,66.63,67,71,24.87,MU,1595562826
Vila,42.03,-8.16,63,93,0,2.24,PT,1595562826
Ternate,0.8,127.4,83.43,73,52,7.43,ID,1595562588
Caucayá,-0.19,-74.78,71.37,96,99,1.54,CO,1595562826
Deputatsky,69.3,139.9,82.38,24,31,6.6,RU,1595562826
Toktogul,41.87,72.94,74.98,43,99,0.54,KG,1595562826
Mergen,49.18,125.22,95.81,33,36,11.27,CN,1595562826
Mirny,62.54,113.96,73.4,49,20,8.95,RU,1595562826
Twentynine Palms,34.14,-116.05,89.6,10,1,21.92,US,1595562559
Vung Tau,10.35,107.08,79.32,80,100,3.8,VN,1595562827
Moussoro,13.64,16.49,80.17,61,100,10.98,TD,1595562827
Tchibanga,-2.85,11.03,63.75,97,8,2.39,GA,1595562827
Guadalupe y Calvo,26.1,-106.97,56.35,99,100,0.78,MX,1595562827
Strezhevoy,60.73,77.59,60.8,67,72,4.47,RU,1595562827
Rockland,41.17,-74.05,79,87,95,4.16,US,1595562726
Smolenka,52.14,113.5,71.6,73,75,8.95,RU,1595562827
Cayenne,4.93,-52.33,75.2,100,100,4.03,GF,1595562719
Pevek,69.7,170.31,50.07,67,79,8.63,RU,1595562716
Chute-aux-Outardes,49.12,-68.4,55.4,93,1,2.24,CA,1595562828
Huaral,-11.49,-77.21,59,87,40,8.05,PE,1595562828
Torit,4.41,32.57,66.15,90,22,2.06,SS,1595562828
Codrington,-38.27,141.97,54.72,68,100,11.97,AU,1595562828
Sembakung,3.82,117.25,87.01,65,81,3.27,ID,1595562750
Tahoua,14.89,5.27,71.6,94,20,11.41,NE,1595562828
Pemangkat,1.17,108.97,78.21,85,83,6.24,ID,1595562696
San Cristobal,7.77,-72.22,64.18,91,91,3,VE,1595562828
Brigantine,39.41,-74.36,82.4,78,1,6.93,US,1595562828
Labuhan,-6.88,112.21,83.91,62,87,4.32,ID,1595562829
Bereket,39.24,55.52,87.85,35,7,1.68,TM,1595562829
Winneba,5.35,-0.62,77,88,75,12.75,GH,1595562829
Mendoza,-32.89,-68.83,33.8,86,0,5.82,AR,1595562694
Palmer,42.16,-72.33,72,95,92,2.21,US,1595562829
Rafai,4.95,23.92,65.98,96,75,0.85,CF,1595562829
Barcelos,41.54,-8.62,64.99,93,20,4.7,PT,1595562829
Torzhok,57.04,34.96,52.5,84,99,4.56,RU,1595562829
Carnarvon,-24.87,113.63,75.2,38,0,10.29,AU,1595562742
Igarka,67.47,86.58,61.43,52,75,13.35,RU,1595562830
Manokwari,-0.87,134.08,85.08,63,42,6.53,ID,1595562830
Nurota,40.56,65.69,84.2,37,1,13.87,UZ,1595562830
Villazón,-22.09,-65.59,34.14,55,0,4.52,BO,1595562830
Xunchang,28.45,104.72,84.88,74,100,3.65,CN,1595562830
Sabang,5.89,95.32,82.06,73,100,5.12,ID,1595562830
Barra de Tecoanapa,16.52,-98.75,81.01,77,26,4.7,MX,1595562830
Kostino,58.91,53.27,59.23,89,100,5.61,RU,1595562830
Taltal,-25.4,-70.48,50.25,56,0,4.05,CL,1595562830
Ukiah,39.15,-123.21,82.4,30,1,9.17,US,1595562831
Sumenep,-7.02,113.87,85.32,59,34,14.36,ID,1595562831
Vostok,46.49,135.88,72.27,62,65,6.46,RU,1595562831
Paamiut,61.99,-49.67,45.61,92,100,8.01,GL,1595562831
Tuktoyaktuk,69.45,-133.04,62.6,51,20,14.99,CA,1595562831
Churapcha,62,132.43,82.76,30,1,7.87,RU,1595562831
Sibolga,1.74,98.78,86.47,55,100,3.6,ID,1595562831
Lucapa,-8.42,20.74,56.88,43,0,5.3,AO,1595562831
Dhanaura,28.97,78.25,90.01,56,2,11.25,IN,1595562831
Itarema,-2.92,-39.92,76.01,88,100,10.33,BR,1595562832
Mokrousovo,55.81,66.77,61.25,74,93,14.54,RU,1595562832
Leh,34.17,77.58,64.78,23,0,2.84,IN,1595562832
Staraya Poltavka,50.48,46.48,65.5,59,68,7.99,RU,1595562832
Tromsø,69.65,18.96,48.2,93,75,5.82,NO,1595562832
Ambilobe,-13.2,49.05,69.4,59,84,1.88,MG,1595562832
Ribeira Grande,38.52,-28.7,69.1,71,13,5.7,PT,1595562832
Sittwe,20.15,92.9,83.17,82,99,12.93,MM,1595562740
Kysyl-Syr,63.9,122.76,81,42,83,5.93,RU,1595562832
Mtwara,-10.27,40.18,68,94,40,17.22,TZ,1595562832
Opuwo,-18.06,13.84,49.24,47,0,8.12,NA,1595562833
Probolinggo,-7.75,113.22,86.11,50,94,6.08,ID,1595562833
Saint-François,46.42,3.91,62.6,72,72,3.36,FR,1595562833
Karratha,-20.74,116.85,79.05,32,0,12.91,AU,1595562833
Nānākuli,21.39,-158.15,87.8,45,40,9.17,US,1595562833
Sidi Ali,36.1,0.42,66.43,91,0,1.1,DZ,1595562833
Aranos,-24.13,19.12,45.77,55,0,10.49,NA,1595562833
Comodoro Rivadavia,-45.87,-67.5,32,74,0,12.75,AR,1595562645
Mfou,3.72,11.64,69.8,94,20,1.12,CM,1595562833
Springdale,36.19,-94.13,80.6,78,1,4.7,US,1595562834
Kuruman,-27.45,23.43,34,51,0,6.4,ZA,1595562834
Batticaloa,7.71,81.69,85.28,67,52,6.2,LK,1595562834
Atambua,-9.11,124.89,82.74,39,18,1.97,ID,1595562834
Torbay,47.67,-52.73,63,87,90,16.11,CA,1595562834
Patacamaya,-17.23,-67.92,42.19,63,69,2.55,BO,1595562834
Aktobe,50.28,57.21,69.8,68,0,13.42,KZ,1595562650
Tarrafal,15.28,-23.77,80.6,78,40,5.82,CV,1595562834
Katsuura,35.13,140.3,81,80,100,1.99,JP,1595562834
Tevaitoa,-16.78,-151.5,78.08,78,16,21.47,PF,1595562834
Bambous Virieux,-20.34,57.76,66.99,64,69,5.99,MU,1595562834
Thompson,55.74,-97.86,75.2,73,20,5.82,CA,1595562653
Chebenki,51.93,55.71,66.2,88,20,15.66,RU,1595562835
Gushikawa,26.35,127.87,89.6,79,20,14.99,JP,1595562835
Östersund,63.18,14.64,46.4,93,100,23.04,SE,1595562835
Oddur,4.12,43.89,69.93,73,85,23.02,SO,1595562835
Riyadh,24.69,46.72,91.4,31,28,4.7,SA,1595562783
Ballina,-28.87,153.57,66.2,82,90,5.82,AU,1595562771
Altagracia de Orituco,9.86,-66.38,71.44,92,27,3.4,VE,1595562835
Parrita,9.52,-84.32,69.8,94,40,2.24,CR,1595562835
Nara,34.69,135.8,86,66,75,5.82,JP,1595562835
Verkhnyaya Inta,65.98,60.31,66.51,49,8,3.65,RU,1595562836
Antsohihy,-14.88,47.99,71.92,57,78,12.5,MG,1595562836
West Bay,19.37,-81.42,84.79,76,100,14.88,KY,1595562836
Misratah,32.38,15.09,76.06,77,0,6.24,LY,1595562836
Longfeng,46.55,125.12,91,51,64,6.06,CN,1595562836
Hazorasp,41.32,61.07,80.6,54,0,6.93,UZ,1595562836
Kushmurun,52.45,64.63,65.59,78,100,13.98,KZ,1595562837
Piltene,57.22,21.67,60.8,72,14,11.41,LV,1595562837
Vadsø,70.07,29.75,59,87,15,8.05,NO,1595562837
Kloulklubed,7.04,134.26,86,70,75,8.05,PW,1595562837
Padang,-0.95,100.35,86,70,20,4.7,ID,1595562793
Wajima,37.4,136.9,73.4,94,75,5.82,JP,1595562837
Mazamari,-11.33,-74.53,68.13,78,56,2.08,PE,1595562837
Road Town,18.42,-64.62,82.99,89,42,15.01,VG,1595562653
Kaitangata,-46.28,169.85,46.99,55,100,8.01,NZ,1595562599
Dingle,11,122.67,88.86,63,100,2.21,PH,1595562838
Werda,-25.27,23.28,44.47,63,0,6.67,BW,1595562838
Ordynskoye,54.37,81.9,64.83,60,89,7.72,RU,1595562838
Havre-St-Pierre,50.23,-63.6,53.6,93,1,3.36,CA,1595562838
Lindi,-10,39.72,68,94,40,17.22,TZ,1595562838
Nome,64.5,-165.41,48.99,81,75,9.17,US,1595562730
Ketchikan,55.34,-131.65,55.4,100,90,5.82,US,1595562838
Mīnāb,27.15,57.08,91.4,66,40,2.24,IR,1595562839
Olinda,-8.01,-34.86,75.2,83,75,4.7,BR,1595562839
Kushiro,42.98,144.37,69.8,77,75,4.7,JP,1595562751
Kumul,42.8,93.45,82.87,38,77,9.62,CN,1595562839
Quixadá,-4.97,-39.02,70.54,93,72,3.29,BR,1595562839
Kaeo,-35.1,173.78,60.01,3,35,11.01,NZ,1595562839
Quelimane,-17.88,36.89,61.68,90,58,3.06,MZ,1595562839
Paragominas,-2.97,-47.48,72.32,71,89,3.62,BR,1595562839
Qingdao,36.1,120.37,84.2,62,0,13.42,CN,1595562839
Murgab,37.5,61.97,80.6,47,18,9.17,TM,1595562840
Mercedes,-34.65,-59.43,48,92,100,5.99,AR,1595562840
Urubamba,-13.3,-72.12,53.38,60,98,4.74,PE,1595562840
Fare,-16.7,-151.02,77.79,78,41,21.52,PF,1595562840
Sola,-13.88,167.55,78.8,94,90,20.13,VU,1595562840
Ust-Maya,60.42,134.53,80.73,34,0,5.46,RU,1595562840
Santo Antônio do Leverger,-15.87,-56.08,75.2,57,0,2.24,BR,1595562840
Grand Gaube,-20.01,57.66,66.99,64,53,5.99,MU,1595562841
Kavaratti,10.57,72.64,82.4,83,90,6.93,IN,1595562841
Gazli,40.13,63.45,87.89,29,0,14.65,UZ,1595562841
Oranjestad,12.52,-70.03,82.4,74,20,17.22,AW,1595562547
Sioux Lookout,50.1,-91.92,69.8,56,75,4.7,CA,1595562594
Río Gallegos,-51.62,-69.22,35.6,80,75,12.75,AR,1595562841
Bonavista,48.65,-53.11,60.8,80,94,10.71,CA,1595562841
Grindavik,63.84,-22.43,46.4,87,75,12.75,IS,1595562769
Corn Island,12.17,-83.04,82.42,79,59,12.39,NI,1595562841
Limbang,4.75,115,84.2,74,75,9.17,MY,1595562842
Istmina,5.16,-76.68,73.45,95,100,2.21,CO,1595562842
Qasigiannguit,68.82,-51.19,46.4,70,99,3.36,GL,1595562842
Anloga,5.79,0.9,75.2,94,40,11.41,GH,1595562842
San Lorenzo,-25.33,-57.53,68,68,59,17.22,PY,1595562631
Antofagasta,-23.65,-70.4,53.6,76,0,13.87,CL,1595562842
São Filipe,14.9,-24.5,76.42,85,87,10.22,CV,1595562842
Pathein,16.78,94.73,89.46,60,6,2.19,MM,1595562842
Qarqīn,37.42,66.04,96.39,15,0,14.76,AF,1595562842
Sedalia,38.7,-93.23,81,78,1,6.93,US,1595562806
Lagoa Nova,-6.1,-36.48,63.91,90,71,15.23,BR,1595562843
Adrar,20.5,-10.07,92.17,29,0,11.79,MR,1595562843
Portland,45.52,-122.68,71.01,67,0,1.01,US,1595562632
Fort Abbas,29.19,72.85,98.28,44,17,11.12,PK,1595562843
Manaus,-3.1,-60.02,78.8,88,27,2.24,BR,1595562592
Dubbo,-32.25,148.62,64.4,52,0,4.7,AU,1595562646
Richards Bay,-28.78,32.04,57.58,77,4,5.03,ZA,1595562843
Khani,41.96,42.96,73.4,88,75,2.24,GE,1595562843
Poshekhon'ye,58.5,39.14,56.3,85,0,5.75,RU,1595562843
Yeppoon,-23.13,150.73,73.4,56,75,5.82,AU,1595562844
Sunnyside,46.32,-120.01,79,31,1,3.36,US,1595562844
Varadero,23.15,-81.25,75.2,100,40,4.7,CU,1595562844
Singaraja,-8.11,115.09,84.11,54,100,2.66,ID,1595562844
Mogok,22.92,96.5,79.05,72,90,1.63,MM,1595562844
Xinmin,41.99,122.83,84.2,70,80,4.47,CN,1595562844
Lavrentiya,65.58,-171,56.21,63,100,7.16,RU,1595562844
Saint-Augustin,51.23,-58.65,61.41,67,94,6.26,CA,1595562844
Zhuhai,22.28,113.57,97,75,20,9.17,CN,1595562844
Talnakh,69.49,88.4,51.8,71,31,26.84,RU,1595562845
Port Hardy,50.7,-127.42,55.4,93,75,4.7,CA,1595562845
Apac,1.98,32.54,61.9,97,60,3.56,UG,1595562845
Liepāja,56.54,21.04,60.8,77,43,10.29,LV,1595562845
Mount Isa,-20.73,139.5,78.8,26,0,6.93,AU,1595562710
Flinders,-34.58,150.86,63,70,0,11.99,AU,1595562845
Fairbanks,64.84,-147.72,64.4,52,1,5.82,US,1595562845
Lagoa,39.05,-27.98,68.74,77,1,6.6,PT,1595562845
Panjakent,39.5,67.61,82.4,42,4,11.41,TJ,1595562845
Saint-Joseph,-21.37,55.62,66.2,59,90,17.22,RE,1595562723
