City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Kununurra,-15.77,128.73,71.6,29,14,8.05,AU,1595463966
Eirunepé,-6.66,-69.87,78.4,67,57,1.83,BR,1595463966
Chui,-33.7,-53.46,64.74,95,100,7.2,UY,1595463966
Arona,28.1,-16.68,73.99,78,3,12.75,ES,1595463820
Vaini,-21.2,-175.2,75.2,78,75,11.41,TO,1595463966
Ferrandina,40.5,16.45,79,68,5,3.36,IT,1595463966
Leningradskiy,69.38,178.42,63.41,40,100,7.65,RU,1595463966
Kahului,20.89,-156.47,87.8,55,40,23.04,US,1595463966
Upernavik,72.79,-56.15,46.44,72,0,12.59,GL,1595463889
Melfort,52.87,-104.62,78.8,69,1,8.05,CA,1595463967
Rocha,-34.48,-54.33,66.38,95,100,8.48,UY,1595463967
Río Gallegos,-51.62,-69.22,14,100,0,4.7,AR,1595463920
Hong Kong,22.29,114.16,91,74,62,4,HK,1595463745
Busselton,-33.65,115.33,55.99,51,42,18.95,AU,1595463967
Qaanaaq,77.48,-69.36,47.95,53,0,0.98,GL,1595463822
Husavik,66.04,-17.34,48.2,87,90,6.93,IS,1595463967
Rovaniemi,66.5,25.72,59,100,75,12.75,FI,1595463967
Dubuque,42.48,-90.87,77,69,20,8.05,US,1595463967
Ko Samui,9.54,99.94,80.6,83,20,2.24,TH,1595463967
Hrubieszów,50.8,23.89,53.01,89,0,4.36,PL,1595463968
Manacapuru,-3.3,-60.62,78.8,83,40,3.36,BR,1595463968
La Ronge,55.1,-105.28,77,61,75,3.36,CA,1595463968
Alice Springs,-23.7,133.88,48.2,57,0,1.12,AU,1595463923
Acarí,-15.43,-74.62,60.89,68,11,4.56,PE,1595463968
Saint Paul Harbor,57.79,-152.41,66.2,45,1,23.04,US,1595463838
Viana,-20.39,-40.5,75.99,73,0,8.05,BR,1595463968
Lamu,-2.27,40.9,76.12,78,3,16.22,KE,1595463968
Butaritari,3.07,172.79,83.39,76,75,15.9,KI,1595463968
Kefamenanu,-9.45,124.48,71.19,71,88,7.31,ID,1595463969
Kerema,-7.96,145.78,80.58,76,72,1.03,PG,1595463969
Kupang,-10.17,123.58,78.91,61,91,16.28,ID,1595463969
Paracuru,-3.41,-39.03,80.01,73,13,11.99,BR,1595463969
Necochea,-38.55,-58.74,46.99,59,100,24,AR,1595463969
Cap Malheureux,-19.98,57.61,66.99,66,49,1.99,MU,1595463969
Porto Walter,-8.27,-72.74,77.43,74,63,2.01,BR,1595463969
Vodnyy,63.5,53.41,58.78,75,88,5.79,RU,1595463969
Christchurch,-43.53,172.63,46.99,70,84,3.36,NZ,1595463969
Santa Maria,-29.68,-53.81,68,88,100,3.36,BR,1595463969
Meulaboh,4.14,96.13,75.25,90,100,3.78,ID,1595463838
Mae Sai,20.43,99.88,78.8,94,20,0.92,TH,1595463970
Esperance,-33.87,121.9,57.2,76,90,16.11,AU,1595463970
Dikson,73.51,80.55,39.97,91,60,7.9,RU,1595463970
São Filipe,14.9,-24.5,78.4,85,99,7.61,CV,1595463970
Tiksi,71.69,128.87,53.08,82,82,4.03,RU,1595463970
Albany,42.6,-73.97,73,98,79,1.54,US,1595463970
Banjar,-8.19,114.97,78.58,72,26,5.28,ID,1595463970
Dingle,11,122.67,82.45,82,50,4.94,PH,1595463970
Sorong,-0.88,131.25,79.5,84,18,12.35,ID,1595463970
Vernon,50.26,-119.27,91,39,8,1.01,CA,1595463829
Pangai,-19.8,-174.35,77,61,40,10.29,TO,1595463971
Ancud,-41.87,-73.82,43,93,72,4.7,CL,1595463883
Lichuan,30.3,108.85,69.6,94,98,4.41,CN,1595463971
Senno,59.53,33.92,51.03,97,63,6.73,RU,1595463971
Naze,28.37,129.48,86,84,75,5.82,JP,1595463971
Broome,42.25,-75.83,80.01,61,20,5.82,US,1595463971
Mount Isa,-20.73,139.5,69.8,40,0,10.29,AU,1595463971
Dunmore Town,25.5,-76.65,83.66,79,96,18.9,BS,1595463971
Saint-Philippe,-21.36,55.77,66.2,55,90,6.93,RE,1595463971
Port Alfred,-33.59,26.89,63.79,55,0,9.71,ZA,1595463785
Coyhaique,-45.58,-72.07,32,94,75,8.05,CL,1595463885
Carnot,4.94,15.87,68.2,93,93,2.28,CF,1595463972
Wanning,18.8,110.4,84.11,73,2,4.94,CN,1595463972
Cuenca,-2.88,-78.98,53.6,100,85,2.24,EC,1595463832
Hamilton,39.18,-84.53,81,83,1,8.48,US,1595463875
Aktash,50.3,87.73,46.24,97,91,0.34,RU,1595463972
Antsohihy,-14.88,47.99,66.49,57,55,11.86,MG,1595463807
Laguna,38.42,-121.42,87.8,28,1,11.41,US,1595463972
Mar del Plata,-38,-57.56,52,100,90,19.46,AR,1595463972
Bonfim,3.08,-59.95,77.5,84,100,2.68,BR,1595463972
Kabin Buri,13.95,101.72,78.53,86,54,2.37,TH,1595463973
San Policarpo,12.18,125.51,84.7,72,63,7.23,PH,1595463973
Tigre,-34.43,-58.58,59,87,90,5.82,AR,1595463973
Taksimo,56.34,114.88,60.82,81,100,4.63,RU,1595463973
Yumen,40.28,97.2,73.11,38,98,2.75,CN,1595463973
Thompson,55.74,-97.86,73.4,60,75,3.36,CA,1595463793
Jamestown,42.1,-79.24,75,94,90,4.7,US,1595463892
Viedma,-40.81,-63,43,91,100,3,AR,1595463974
Houma,29.6,-90.72,87.01,70,1,10.29,US,1595463974
Chkalovskoye,44.84,133.04,76.57,79,21,3.15,RU,1595463974
Ciudad Guayana,8.35,-62.65,75.99,94,100,1.01,VE,1595463723
Imbituba,-28.24,-48.67,68,82,100,3.36,BR,1595463974
Pevek,69.7,170.31,54.14,55,98,10.47,RU,1595463974
Monroe,43.15,-77.68,80.01,74,75,6.93,US,1595463974
George Town,5.41,100.34,78.8,88,20,1.12,MY,1595463966
Butembo,0.15,29.28,58.14,99,100,1.97,CD,1595463975
Chainat,15.19,100.12,80.22,83,80,6.93,TH,1595463975
Pisco,-13.7,-76.22,64.4,72,0,11.41,PE,1595463884
Sisimiut,66.94,-53.67,55.58,67,16,0.67,GL,1595463975
Bud,39.45,-86.18,82.99,69,1,5.82,US,1595463975
Hithadhoo,-0.6,73.08,83.23,70,48,6.24,MV,1595463808
Iwaki,37.05,140.88,77,92,100,1.01,JP,1595463965
Sioux Lookout,50.1,-91.92,78.8,39,75,5.82,CA,1595463738
Rome,43.21,-75.46,73.99,88,1,3.36,US,1595463679
Geraldton,-28.77,114.6,60.8,87,75,5.82,AU,1595463975
Caarapó,-22.63,-54.82,67.68,46,52,5.01,BR,1595463976
Pundaguitan,6.37,126.17,82.62,73,100,8.93,PH,1595463976
‘Ewa Beach,21.32,-158.01,82.4,69,90,6.93,US,1595463976
Yerbogachën,61.28,108.01,60.73,73,0,3.8,RU,1595463976
Luanda,-8.84,13.23,71.6,83,75,2.24,AO,1595463823
Gladstone,-23.85,151.25,60.8,87,90,6.93,AU,1595463968
Sturgis,41.8,-85.42,82.4,78,40,5.53,US,1595463976
Vardø,70.37,31.11,55.4,87,75,11.41,NO,1595463857
Hays,30.05,-98.03,95,49,89,5.01,US,1595463976
Kaitangata,-46.28,169.85,43,69,48,17,NZ,1595463977
Guadalupe y Calvo,26.1,-106.97,59.67,96,95,3.24,MX,1595463977
Port-Gentil,-0.72,8.78,75.2,94,20,12.82,GA,1595463977
Pochutla,15.74,-96.47,80.6,78,90,11.41,MX,1595463873
Saskylakh,71.92,114.08,47.19,91,100,12.19,RU,1595463977
Bengkulu,-3.8,102.27,74.34,87,94,3.98,ID,1595463832
Marzuq,14.4,46.47,79.12,62,1,7.27,YE,1595463977
Kaputa,-8.47,29.66,66.13,53,12,5.59,ZM,1595463977
Northam,51.03,-4.22,57,93,77,3,GB,1595463977
Morondava,-20.28,44.28,68.95,56,0,13.44,MG,1595463977
Nelson Bay,-32.72,152.15,57,87,40,8.05,AU,1595463977
Cabo San Lucas,22.89,-109.91,91.99,74,20,19.46,MX,1595463743
Te Anau,-45.42,167.72,41.13,68,36,6.46,NZ,1595463978
Mehamn,71.04,27.85,48.94,91,98,11.03,NO,1595463978
Tomatlán,19.93,-105.25,85.41,65,67,9.26,MX,1595463978
Ribeira Grande,38.52,-28.7,70.29,71,23,2.66,PT,1595463978
Bathsheba,13.22,-59.52,82.4,65,40,18.34,BB,1595463978
Pīshvā,35.31,51.73,80.6,53,20,13.87,IR,1595463978
Ygatimi,-24.08,-55.5,72.14,48,88,5.14,PY,1595463978
Miyako,39.64,141.95,72.99,84,94,5.7,JP,1595463978
Vila Velha,-20.33,-40.29,75.99,73,0,8.05,BR,1595463978
Nemuro,43.32,145.57,60.8,100,75,6.93,JP,1595463978
Bokoro,12.38,17.06,77.9,77,71,5.7,TD,1595463979
Port Elizabeth,-33.92,25.57,51.8,100,20,2.24,ZA,1595463979
Karaidel',55.83,56.91,60.3,93,100,8.9,RU,1595463979
Sīra,13.75,76.91,74.3,85,99,5.03,IN,1595463979
Henties Bay,-22.12,14.28,63.9,39,0,0.6,NA,1595463979
Beyneu,45.32,55.2,73.53,66,0,7.7,KZ,1595463979
Tevaitoa,-16.78,-151.5,77.65,75,1,15.43,PF,1595463979
Hasaki,35.73,140.83,75.2,94,75,1.12,JP,1595463979
Vostok,46.49,135.88,69.49,89,98,2.39,RU,1595463980
Chumikan,54.72,135.31,51.15,94,100,4.76,RU,1595463980
Dongsheng,39.82,109.98,67.39,66,52,13.51,CN,1595463980
Mapimí,25.82,-103.85,89.6,35,75,10.29,MX,1595463980
Hurghada,27.26,33.81,87.67,29,0,18.32,EG,1595463980
Thunder Bay,48.4,-89.32,71.6,53,75,5.82,CA,1595463823
Provideniya,64.38,-173.3,50,76,0,11.18,RU,1595463980
Shimoda,34.67,138.95,77,94,75,4.7,JP,1595463980
São Raimundo Nonato,-9.02,-42.7,71.92,62,13,5.32,BR,1595463980
Sitka,57.05,-135.33,60.8,77,90,4.99,US,1595463980
Carnarvon,-24.87,113.63,57.2,100,0,4.7,AU,1595463792
Téra,14.01,0.75,89.33,47,20,9.91,NE,1595463981
Vila Franca do Campo,37.72,-25.43,66.2,72,20,4.7,PT,1595463981
Byron Bay,-28.65,153.62,59,77,90,8.05,AU,1595463840
Keene,42.93,-72.28,75.2,83,90,3.62,US,1595463981
Nidzica,53.36,20.43,50,100,44,2.24,PL,1595463981
Tasiilaq,65.61,-37.64,39.2,86,26,2.95,GL,1595463810
Sørland,67.67,12.69,52.52,82,100,16.02,NO,1595463875
Avarua,-21.21,-159.78,78.8,83,4,13.87,CK,1595463981
Asău,46.43,26.4,57.99,99,98,1.28,RO,1595463981
Kabompo,-13.59,24.2,50.67,62,0,4.18,ZM,1595463981
Corcoran,36.1,-119.56,100.99,11,40,6.93,US,1595463982
Longyearbyen,78.22,15.64,44.6,87,75,6.93,SJ,1595463757
Killybegs,54.63,-8.45,59,96,100,5.99,IE,1595463982
Oktyabr'skoye,43.06,44.74,66.2,82,66,4.47,RU,1595463982
Souillac,-20.52,57.52,69.8,60,75,12.75,MU,1595463813
Appleton,44.26,-88.42,73.99,52,40,9.17,US,1595463982
Fortuna,40.6,-124.16,61,93,90,11.41,US,1595463982
Bereket,39.24,55.52,81.54,65,30,12.28,TM,1595463982
Ostrovnoy,68.05,39.51,60.22,75,33,10.02,RU,1595463899
Bereda,43.27,-7.54,63,100,32,3,ES,1595463983
Ous,60.91,61.52,56.88,79,0,3.96,RU,1595463983
Mana,5.66,-53.78,77.83,87,90,7.25,GF,1595463983
Evensk,61.95,159.23,61.92,57,13,7.16,RU,1595463983
Vihti,60.42,24.32,54,76,34,11.01,FI,1595463983
Meiringen,46.73,8.18,62.6,93,75,3.36,CH,1595463983
Pedersore,63.65,22.68,55,100,90,6.93,FI,1595463983
Yamada,39.47,141.95,74.35,81,89,5.44,JP,1595463983
Bonavista,48.65,-53.11,62.29,68,75,4.03,CA,1595463983
Tāybād,34.74,60.78,76.42,18,0,10.58,IR,1595463983
Nikolskoye,59.7,30.79,55.4,76,20,8.95,RU,1595463984
Saint-Joseph,-21.37,55.62,66.2,55,90,6.93,RE,1595463984
Samarai,-10.62,150.67,77.9,81,18,11.61,PG,1595463840
Sambava,-14.27,50.17,66.96,76,85,17.31,MG,1595463984
Erdenet,49.03,104.08,61.09,90,96,6.29,MN,1595463826
Gabú,12.28,-14.22,75.09,95,99,7.61,GW,1595463984
Ternate,0.8,127.4,82.11,74,14,7.96,ID,1595463984
Thai Binh,20.45,106.33,84.2,79,26,1.12,VN,1595463984
Linguère,15.4,-15.12,84.9,65,47,15.59,SN,1595463984
Bethel,41.37,-73.41,77,94,90,23.04,US,1595463892
Pangnirtung,66.15,-65.71,54.7,65,100,5.23,CA,1595463985
Skibbereen,51.55,-9.27,57.2,100,75,12.75,IE,1595463893
Narrabri,-30.32,149.78,57.99,54,60,2.24,AU,1595463985
Keti Bandar,24.14,67.45,85.06,75,68,18.68,PK,1595463985
Blagoyevo,63.37,47.92,61.65,88,44,8.66,RU,1595463985
Auki,-8.77,160.7,83.73,69,94,7.65,SB,1595463985
Cleethorpes,53.56,-0.03,62.01,82,76,8.05,GB,1595463985
Cherkasskoye,52.43,47.22,60.6,87,22,3.83,RU,1595463985
Isangel,-19.55,169.27,77,65,75,6.93,VU,1595463824
Cedar City,37.68,-113.06,89.6,15,20,13.87,US,1595463986
San Jose,37.34,-121.89,82,44,20,16.11,US,1595463947
Paita,-5.09,-81.11,63.36,83,38,14.36,PE,1595463986
Florianópolis,-27.61,-48.5,70,82,100,3.36,BR,1595463986
Teknāf,20.86,92.31,79.38,89,100,6.4,BD,1595463986
Yeppoon,-23.13,150.73,60.8,93,90,12.75,AU,1595463986
Willowmore,-33.29,23.49,49.33,45,0,1.99,ZA,1595463986
São João da Barra,-21.64,-41.05,71.28,87,0,11.65,BR,1595463987
Nishihara,26.18,127.76,87.8,74,75,9.17,JP,1595463987
Fukuechō,32.69,128.84,78.8,94,75,11.41,JP,1595463987
Arrondissement de Limoux,42.92,2.17,75.2,73,72,2.24,FR,1595463987
Fort Nelson,58.81,-122.7,64.4,68,75,11.41,CA,1595463987
Yar-Sale,66.83,70.83,48.15,75,35,8.93,RU,1595463987
Huilong,31.81,121.66,91.99,72,97,1.01,CN,1595463987
Bol,13.46,14.71,80.64,77,100,14.94,TD,1595463987
Hazorasp,41.32,61.07,75.2,57,27,2.24,UZ,1595463988
Mergen,49.18,125.22,78.19,62,51,8.99,CN,1595463988
Cam Ranh,11.92,109.16,86,84,20,3.36,VN,1595463988
Wuxue,29.85,115.55,85.73,73,68,3.06,CN,1595463988
Diego de Almagro,-26.37,-70.05,40.91,90,0,2.98,CL,1595463815
Lakes Entrance,-37.88,147.98,52,69,53,9.19,AU,1595463988
Iralaya,15,-83.23,86,74,75,6.93,HN,1595463988
Ucluelet,48.93,-125.55,60.01,93,90,3.36,CA,1595463732
Calama,-22.47,-68.93,50,23,0,10.29,CL,1595463988
Şabyā,17.15,42.63,89.6,62,7,3.36,SA,1595463988
Carutapera,-1.2,-46.02,76.21,84,18,6.33,BR,1595463988
Richards Bay,-28.78,32.04,59.13,84,3,6.6,ZA,1595463836
Teluk Nibung,3,99.82,74.64,92,100,2.82,ID,1595463989
Narsaq,60.92,-46.05,64.4,60,69,34.45,GL,1595463989
Kiama,-34.68,150.87,55.99,62,20,9.17,AU,1595463989
Camacha,33.08,-16.33,68,72,40,11.41,PT,1595463989
Numan,9.47,12.03,75.25,88,42,4.85,NG,1595463989
Coquimbo,-29.95,-71.34,53.6,81,40,5.82,CL,1595463989
Wajima,37.4,136.9,73.4,83,75,4.7,JP,1595463989
Santa Isabel Rio Negro,-0.41,-65.02,75.16,89,68,1.79,BR,1595463797
Luohe,33.57,114.04,71.8,87,84,3.49,CN,1595463990
Khovd,48.01,91.64,62.46,62,3,1.95,MN,1595463863
Tambovka,50.1,128.05,73.4,73,20,6.71,RU,1595463990
São João de Pirabas,-0.77,-47.18,77.09,88,100,7.18,BR,1595463990
Half Moon Bay,37.46,-122.43,75,87,90,5.82,US,1595463990
Trelew,-43.25,-65.31,40.93,69,100,10.98,AR,1595463990
São Cristóvão,-11.01,-37.21,77,73,20,6.93,BR,1595463990
Buala,-8.14,159.59,84.24,72,50,12.66,SB,1595463990
Chaiyaphum,15.75,102,79.59,77,97,3.76,TH,1595463990
Whitehorse,60.72,-135.05,57.2,87,75,4.7,CA,1595463991
Nova Venécia,-18.71,-40.4,66.2,76,0,3.27,BR,1595463991
Province of Mantua,45.17,10.78,70,92,78,1.99,IT,1595463991
Katoro,-3.02,31.9,64.58,52,16,4.79,TZ,1595463991
Buraidah,26.33,43.98,95,19,20,8.05,SA,1595463991
Agen,44.2,0.63,73.4,73,53,2.24,FR,1595463991
Tuktoyaktuk,69.45,-133.04,46.4,75,75,12.75,CA,1595463991
Havelock,34.88,-76.9,84.99,70,1,10.29,US,1595463991
Belmonte,-15.86,-38.88,68,77,0,4.81,BR,1595463848
Severo-Kuril'sk,50.68,156.12,52.05,85,55,2.51,RU,1595463992
Flinders,-34.58,150.86,55.99,62,20,9.17,AU,1595463992
Scarborough,54.28,-0.4,59,90,92,3,GB,1595463992
Cayenne,4.93,-52.33,75.2,100,90,8.95,GF,1595463992
Malakal,9.53,31.66,70.45,97,100,2.55,SS,1595463992
Leiyang,26.4,112.86,84.22,67,13,7.11,CN,1595463992
Constitución,-35.33,-72.42,49.01,78,14,2.71,CL,1595463886
Pampa,35.54,-100.96,93.2,30,40,16.11,US,1595463732
Humaitá,-7.51,-63.02,83.23,49,97,1.7,BR,1595463992
Traverse City,44.76,-85.62,73.4,73,40,6.93,US,1595463695
Tiznit Province,29.58,-9.5,78.73,42,0,1.97,MA,1595463993
Imeni Poliny Osipenko,52.42,136.49,61.25,81,91,9.82,RU,1595463993
Yining,29.04,114.56,84.27,69,62,2.24,CN,1595463993
Chico,39.73,-121.84,93.2,22,40,12.75,US,1595463974
Port Lincoln,-34.73,135.87,51.62,73,0,9.4,AU,1595463993
Maniitsoq,65.42,-52.9,55.04,71,1,13.71,GL,1595463993
Monywa,22.12,95.13,79.18,84,100,8.01,MM,1595463993
Port Blair,11.67,92.75,77,94,75,1.12,IN,1595463993
Oskarshamn,57.26,16.45,50,85,50,4,SE,1595463993
Vung Tau,10.35,107.08,83.1,71,91,1.48,VN,1595463993
Bandarbeyla,9.49,50.81,78.04,70,11,28.66,SO,1595463993
Townsville,-19.25,146.8,69.8,77,75,12.75,AU,1595463994
Tawao,4.25,117.89,78.8,94,40,3.36,MY,1595463994
Nikolayevsk-on-Amur,53.14,140.73,54.05,92,100,4.03,RU,1595463994
Shaowu,27.34,117.48,85.12,65,90,1.16,CN,1595463994
Fairbanks,64.84,-147.72,64.4,59,20,2.46,US,1595463822
Kibaya,-5.3,36.57,53.4,91,3,5.37,TZ,1595463994
Bilibino,68.05,166.44,77.43,30,98,8.48,RU,1595463994
Esim,4.87,-2.24,75.04,89,84,9.19,GH,1595463994
Krasnogorsk,55.82,37.32,59,82,40,8.95,RU,1595463994
Dunedin,-45.87,170.5,46.99,58,6,8.01,NZ,1595463995
Makakilo City,21.35,-158.09,82.4,69,90,6.93,US,1595463995
Vermilion,40.17,-87.75,84.2,66,1,4.7,US,1595463995
Inuvik,68.35,-133.72,53.6,58,75,6.93,CA,1595463703
Ocampo,21.65,-101.5,61.39,80,99,10.27,MX,1595463995
Ponta Delgada,37.73,-25.67,66.2,72,20,4.7,PT,1595463986
Kavieng,-2.57,150.8,85.19,72,23,14.7,PG,1595463995
Cockburn Town,21.46,-71.14,83.55,78,27,21.7,TC,1595463995
Coahuayana Viejo,18.73,-103.68,73.4,88,90,4.5,MX,1595463995
Zheleznodorozhnyy,55.75,38,59,87,4,6.71,RU,1595463995
Westport,41.14,-73.36,82.4,78,75,8.05,US,1595463842
Rudnogorsk,57.26,103.75,57.6,92,57,5.68,RU,1595463996
Grand Gaube,-20.01,57.66,66.99,66,55,1.99,MU,1595463996
Marau,-28.45,-52.2,61.38,92,100,3.11,BR,1595463996
Siniscola,40.57,9.69,73.4,40,0,3.36,IT,1595463996
Fuerte Olimpo,-21.04,-57.87,75.02,39,0,5.21,PY,1595463996
Kainan,34.15,135.2,80.01,94,75,5.82,JP,1595463996
Poykovskiy,61.23,73.33,55.4,71,20,6.71,RU,1595463996
Praia,14.92,-23.51,80.6,78,20,2.24,CV,1595463996
Acajutla,13.59,-89.83,84.2,66,40,2.24,SV,1595463996
Tabou,4.42,-7.35,75.25,87,96,9.95,CI,1595463996
São Pedro do Sul,-29.62,-54.18,68,88,100,3.36,BR,1595463997
Peniche,39.36,-9.38,64.99,95,0,1.99,PT,1595463836
Preobrazheniye,42.9,133.91,65.71,86,89,7.34,RU,1595463997
Biritiba-Mirim,-23.57,-46.04,72,56,9,9.17,BR,1595463997
Griffith,41.53,-87.42,84.2,69,90,4.7,US,1595463779
Marulanda,5.28,-75.26,55.02,95,76,0.85,CO,1595463997
Grindavik,63.84,-22.43,48.2,76,75,6.93,IS,1595463997
Tagusao,9.19,117.81,82.65,75,77,5.44,PH,1595463997
Ulladulla,-35.35,150.47,55.4,62,20,9.17,AU,1595463823
San Fernando del Valle de Catamarca,-28.47,-65.79,52,73,1,6.62,AR,1595463998
Segovia,41.17,-4,66.99,39,16,2.42,ES,1595463998
Castro,-24.79,-50.01,58.84,75,98,2.59,BR,1595463998
Roald,62.58,6.13,48.2,81,99,3.36,NO,1595463998
Elliot Lake,46.38,-82.63,68,77,1,3.36,CA,1595463998
Campbeltown,55.43,-5.61,59,100,93,4.7,GB,1595463985
Robertsport,6.75,-11.37,76.77,89,98,11.88,LR,1595463998
Boituva,-23.28,-47.67,71.01,51,26,5.01,BR,1595463998
Hanzhong,33.07,107.03,71.89,93,100,2.86,CN,1595463998
Oranjemund,-28.55,16.43,58.77,65,0,0.98,NA,1595463998
Shache,38.42,77.24,68.54,31,15,8.66,CN,1595463999
Mahébourg,-20.41,57.7,69.8,60,75,12.75,MU,1595463999
Sovetskaya Gavan',48.97,140.29,59.65,80,99,7.07,RU,1595463999
Uyo,5.03,7.93,72.57,95,35,2.91,NG,1595463999
Novotroitsk,51.2,58.33,60.8,93,75,22.37,RU,1595463999
Portland,45.52,-122.68,82.99,42,20,4.7,US,1595463770
Marsh Harbour,26.54,-77.06,83.35,78,86,16.11,BS,1595463999
Kalavai,12.77,79.42,79.83,79,100,8.16,IN,1595463999
Khani,41.96,42.96,69.8,94,75,2.24,GE,1595463999
Cruzeiro do Sul,-29.51,-51.99,64,8,100,3.62,BR,1595463999
Katsuura,35.13,140.3,79,89,100,1.99,JP,1595463999
Bunia,1.57,30.25,62.64,93,99,2.59,CD,1595464000
Zhuhai,22.28,113.57,89.01,83,40,2.24,CN,1595464000
Obo,5.4,26.49,67.21,96,100,2.44,CF,1595464000
Chul'man,56.85,124.91,62.22,75,27,6.33,RU,1595464000
Vimperk,49.06,13.78,57,75,66,4,CZ,1595464000
Winnemucca,40.97,-117.74,75.2,38,90,9.17,US,1595464000
Kudat,6.88,116.85,84.2,79,20,6.93,MY,1595464000
Kalabo,-14.97,22.68,51.57,47,0,6.38,ZM,1595464000
Srednekolymsk,67.45,153.68,82.6,30,87,8.77,RU,1595464001
Vershino-Darasunskiy,52.35,115.52,68.92,66,95,5.7,RU,1595464001
Nome,64.5,-165.41,60.01,71,1,17.22,US,1595463870
Xichang,27.9,102.26,70,80,99,3.58,CN,1595464001
Clyde River,70.47,-68.59,46.4,87,90,3.36,CA,1595464001
Brandýs nad Labem-Stará Boleslav,50.19,14.66,59,62,69,4.7,CZ,1595464001
Salinópolis,-0.61,-47.36,79.29,83,98,11.68,BR,1595464001
Norrtälje,59.76,18.7,57.99,68,6,5.99,SE,1595464001
Salinas,36.68,-121.66,71.6,53,20,16.11,US,1595464001
